"data_year","zone","habitat","nombre_pieces","loyer_moyen","surface_moyenne","moyenne_loyer_mensuel","nombre_observations"
2015,"69000","Appartement",1,10.8,62,672,1450
2015,"69000","Appartement",1,14.1,33,464,343
2015,"69000","Appartement",2,11.6,50,584,455
2015,"69000","Appartement",3,10.1,72,729,364
2015,"69000","Maison",4,9.7,93,907,288
2015,"69000","Appartement",1,11.5,64,731,1356
2015,"69000","Appartement",1,16.3,27,446,175
2015,"69000","Appartement",2,12.4,49,609,425
2015,"69000","Appartement",3,11.2,70,787,486
2015,"69000","Maison",4,10.4,96,994,270
2015,"69000","Appartement",1,12.3,58,714,625
2015,"69000","Appartement",1,16.2,28,447,98
2015,"69000","Appartement",2,12.7,49,622,235
2015,"69000","Appartement",3,11.55,66,796,229
2015,"69000","Maison",4,11.55,93,1019,63
2015,"69000","Maison",2,11.55,63,695.5,49
2015,"69000","Maison",1,11.55,63,695.5,25
2015,"69000","Maison",4,11.55,63,695.5,24
2015,"69000","Maison",2,11.55,63,695.5,49
2015,"69000","Maison",2,11.55,63,695.5,19
2015,"69000","Maison",1,11.55,63,695.5,1
2015,"69000","Maison",4,11.55,63,695.5,10
2015,"69000","Maison",2,11.55,63,695.5,30
2015,"69000","Maison",1,11.55,63,695.5,16
2015,"69000","Maison",4,11.55,63,695.5,14
2015,"69000","Maison",2,11.55,63,695.5,19
2015,"69000","Maison",2,11.55,63,695.5,19
2015,"69000","Maison",2,11.55,63,695.5,30
2015,"69000","Maison",2,11.55,63,695.5,30
2015,"69000","Maison",2,11.55,63,695.5,23
2015,"69000","Maison",1,11.55,63,695.5,14
2015,"69000","Maison",4,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,14
2015,"69000","Maison",2,11.55,63,695.5,14
2015,"69000","Maison",1,11.55,63,695.5,1
2015,"69000","Maison",4,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",4,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",1,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,10
2015,"69000","Maison",1,11.55,63,695.5,1
2015,"69000","Maison",4,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,23
2015,"69000","Maison",2,11.55,63,695.5,23
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,14
2015,"69000","Maison",2,11.55,63,695.5,14
2015,"69000","Maison",2,11.55,63,695.5,14
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,10
2015,"69000","Maison",2,11.55,63,695.5,10
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Maison",2,11.55,63,695.5,1
2015,"69000","Appartement",1,11.3,61,695,11031
2015,"69000","Appartement",1,14.8,31,465,2372
2015,"69000","Appartement",2,12.1,49,597,3634
2015,"69000","Appartement",3,10.7,70,748,3246
2015,"69000","Appartement",4,10.2,101,1031,1779
2015,"69000","Appartement",1,14.8,31,465,2372
2015,"69000","Appartement",2,12.1,49,597,3634
2015,"69000","Appartement",3,10.7,70,748,3246
2015,"69000","Appartement",4,10.2,101,1031,1779
2015,"69000","Appartement",1,11.9,58,693,4642
2015,"69000","Appartement",1,15.1,31,467,1159
